date,temperature,humidity,luminosity
2021-11-17 15:11:03.334,21.0,27.1,25
2021-11-17 15:11:01.807,21.0,27.1,25
2021-11-17 15:11:00.303,21.0,27.1,25
2021-11-17 15:10:58.775,21.0,27.1,25
2021-11-17 15:10:57.272,21.0,27.1,24
2021-11-17 15:10:55.744,21.0,27.1,24
2021-11-17 15:10:54.244,21.0,27.1,25
2021-11-17 15:10:52.716,21.0,27.1,25
2021-11-17 15:10:51.212,21.0,27.1,25
2021-11-17 15:10:49.684,21.0,27.1,25
2021-11-17 15:10:48.181,21.0,27.1,25
2021-11-17 15:10:46.653,20.9,27.0,24
2021-11-17 15:10:45.150,20.9,27.0,26
2021-11-17 15:10:43.622,20.9,27.0,26
2021-11-17 15:10:42.119,20.9,27.0,26
2021-11-17 15:10:40.590,20.9,27.0,26
2021-11-17 15:10:39.087,20.9,27.0,26
2021-11-17 15:10:37.559,20.9,26.9,26
2021-11-17 15:10:36.056,20.9,26.9,26
2021-11-17 15:10:34.528,20.9,27.0,26
2021-11-17 15:10:33.029,20.9,27.0,26
2021-11-17 15:10:31.501,20.9,26.9,26
2021-11-17 15:10:29.998,20.9,26.9,26
2021-11-17 15:10:28.469,20.9,26.9,23
2021-11-17 15:10:26.966,20.9,26.9,26
2021-11-17 15:10:25.438,20.9,26.9,26
2021-11-17 15:10:23.935,20.9,26.9,25
2021-11-17 15:10:22.407,20.9,26.9,24
2021-11-17 15:10:20.903,20.9,26.9,26
2021-11-17 15:10:19.376,20.9,26.9,25
2021-11-17 15:10:17.872,20.9,26.9,25
2021-11-17 15:10:16.344,20.9,26.9,26
2021-11-17 15:10:14.841,20.9,26.9,25
2021-11-17 15:10:13.313,20.9,26.9,25
2021-11-17 15:10:11.810,20.9,26.9,25
2021-11-17 15:10:10.282,20.9,26.9,25
2021-11-17 15:10:08.782,20.9,26.9,25
2021-11-17 15:10:07.254,20.9,26.9,25
2021-11-17 15:10:05.751,20.9,26.9,25
2021-11-17 15:10:04.223,20.9,26.9,25
2021-11-17 15:10:02.720,20.9,26.9,25
2021-11-17 15:10:01.192,20.8,26.8,25
2021-11-17 15:09:59.689,20.8,26.8,26
2021-11-17 15:09:58.160,20.8,26.8,26
2021-11-17 15:09:56.657,20.8,26.8,26
2021-11-17 15:09:55.129,20.8,26.9,26
2021-11-17 15:09:53.626,20.8,26.9,26
2021-11-17 15:09:52.098,20.8,26.9,26
2021-11-17 15:09:50.595,20.8,26.9,26
2021-11-17 15:09:49.067,20.8,26.9,27
2021-11-17 15:09:47.567,20.8,26.9,27
2021-11-17 15:09:46.040,20.8,27.0,26
2021-11-17 15:09:44.536,20.8,27.0,26
2021-11-17 15:09:43.008,20.9,27.1,24
2021-11-17 15:09:41.505,20.9,27.1,24
2021-11-17 15:09:39.977,20.8,27.1,24
2021-11-17 15:09:38.474,20.8,27.1,25
2021-11-17 15:09:36.946,20.8,27.1,25
2021-11-17 15:09:35.442,20.8,27.1,25
2021-11-17 15:09:33.914,20.8,27.1,25
2021-11-17 15:09:32.411,20.8,27.1,25
2021-11-17 15:09:30.883,20.8,27.2,25
2021-11-17 15:09:29.380,20.8,27.2,25
2021-11-17 15:09:27.856,20.8,27.3,25
2021-11-17 15:09:26.353,20.8,27.3,25
2021-11-17 15:09:24.824,20.8,27.3,25
2021-11-17 15:09:23.321,20.8,27.3,25
2021-11-17 15:09:21.793,20.8,27.4,24
2021-11-17 15:09:20.290,20.8,27.4,25
2021-11-17 15:09:18.762,20.8,27.5,25
2021-11-17 15:09:17.259,20.8,27.5,25
2021-11-17 15:09:15.731,20.8,27.6,25
2021-11-17 15:09:14.228,20.8,27.6,25
2021-11-17 15:09:12.699,20.8,27.7,25
2021-11-17 15:09:11.200,20.8,27.7,25
2021-11-17 15:09:09.672,20.8,27.9,25
2021-11-17 15:09:08.169,20.8,27.9,25
2021-11-17 15:09:06.641,20.7,28.1,25
2021-11-17 15:09:05.137,20.7,28.1,26
2021-11-17 15:09:03.610,20.7,28.4,26
2021-11-17 15:09:02.106,20.7,28.4,26
2021-11-17 15:09:00.579,20.7,28.7,26
2021-11-17 15:08:59.075,20.7,28.7,26
2021-11-17 15:08:57.547,20.7,28.4,26
2021-11-17 15:08:56.044,20.7,28.4,26
2021-11-17 15:08:54.515,20.7,28.0,26
2021-11-17 15:08:53.012,20.7,28.0,26
2021-11-17 15:08:51.484,20.7,27.8,26
2021-11-17 15:08:49.981,20.7,27.8,26
2021-11-17 15:08:48.453,20.7,27.3,26
2021-11-17 15:08:46.954,20.7,27.3,26
2021-11-17 15:08:45.425,20.7,27.3,26
2021-11-17 15:08:43.922,20.7,27.3,26
2021-11-17 15:08:42.394,20.7,27.3,26
2021-11-17 15:08:40.891,20.7,27.3,26
2021-11-17 15:08:39.363,20.7,27.4,26
2021-11-17 15:08:37.860,20.7,27.4,25
2021-11-17 15:08:36.332,20.6,27.3,25
2021-11-17 15:08:34.828,20.6,27.3,25
2021-11-17 15:08:33.300,20.6,27.4,25
2021-11-17 15:08:31.797,20.6,27.4,25
2021-11-17 15:08:30.269,20.6,27.5,25
2021-11-17 15:08:28.766,20.6,27.5,25
2021-11-17 15:08:27.238,20.6,27.5,25
2021-11-17 15:08:25.738,20.6,27.5,25
2021-11-17 15:08:24.211,20.6,27.4,25
2021-11-17 15:08:22.707,20.6,27.4,25
2021-11-17 15:08:21.179,20.6,27.4,25
2021-11-17 15:08:19.676,20.6,27.4,25
2021-11-17 15:08:18.148,20.6,27.1,25
2021-11-17 15:08:16.644,20.6,27.1,25
2021-11-17 15:08:15.116,20.6,26.7,25
2021-11-17 15:08:13.613,20.6,26.7,25
2021-11-17 15:08:12.085,20.6,26.6,25
2021-11-17 15:08:10.582,20.6,26.6,25
2021-11-17 15:08:09.054,20.6,26.6,25
2021-11-17 15:08:07.551,20.6,26.6,25
2021-11-17 15:08:06.022,20.6,26.6,25
2021-11-17 15:08:04.523,20.6,26.6,24
2021-11-17 15:08:02.995,20.6,26.7,25
2021-11-17 15:08:01.492,20.6,26.7,25
2021-11-17 15:07:59.964,20.6,26.8,25
2021-11-17 15:07:58.461,20.6,26.8,25
2021-11-17 15:07:56.933,20.6,26.8,25
2021-11-17 15:07:55.430,20.6,26.8,25
2021-11-17 15:07:53.902,20.6,26.9,25
2021-11-17 15:07:52.398,20.6,26.9,25
2021-11-17 15:07:50.870,20.6,26.9,25
2021-11-17 15:07:49.367,20.6,26.9,25
2021-11-17 15:07:47.840,20.6,26.7,24
2021-11-17 15:07:46.336,20.6,26.7,24
2021-11-17 15:07:44.808,20.6,26.6,24
2021-11-17 15:07:43.309,20.6,26.6,24
2021-11-17 15:07:41.781,20.5,26.5,24
2021-11-17 15:07:40.278,20.5,26.5,24
2021-11-17 15:07:38.750,20.5,26.5,24
2021-11-17 15:07:37.246,20.5,26.5,24
2021-11-17 15:07:35.719,20.5,26.5,24
2021-11-17 15:07:34.215,20.5,26.5,24
2021-11-17 15:07:32.687,20.5,26.5,24
2021-11-17 15:07:31.184,20.5,26.5,25
2021-11-17 15:07:29.656,20.5,26.5,24
2021-11-17 15:07:28.153,20.5,26.5,24
2021-11-17 15:07:26.625,20.5,26.5,24
2021-11-17 15:07:25.121,20.5,26.5,24
2021-11-17 15:07:23.593,20.5,26.5,24
